CornetBay,CH07_W6_CRN_wld_07_W4,CRN_E23_instar,CRN_E23_instar,Correct-Present,29.9,Y,Y,N  ,Y,poptop,7/12/21,wholeINSTAR,
CornetBay,CH07_W6_CRN_wld_09_W4,CRN_E24_instar,CRN_E24_instar,Correct-Present,29.9,Y,Y,N  ,Y,poptop,7/12/21,wholeINSTAR,no meg molt present
CornetBay,CH07_W6_CRN_wld_09_W5,CRN_E25_instar,CRN_E25_instar,Correct-Present,29.9,Y,Y,N  ,Y,poptop,7/12/21,wholeINSTAR,no meg molt present
CornetBay,CH07_W6_CRN_wld_09_W6,CRN_E26_instar,CRN_E26_instar,Correct-Present,29.9,Y,Y,N  ,Y,poptop,7/12/21,wholeINSTAR,no meg molt present
CornetBay,CH07_W6_CRN_wld_10_W1,CRN_E27_instar,CRN_E27_instar,Correct-Present,29.9,Y,Y,N  ,Y,poptop,7/12/21,wholeINSTAR,no meg molt present
CornetBay,CH07_W6_CRN_wld_10_W3,CRN_F21_meg,CRN_F21_meg,Correct-Present,29.9,Y,Y,Y,N,cryovial,7/12/21,moltMegalopae,
CornetBay,CH07_W6_CRN_wld_10_W3,CRN_F21_instar,CRN_F21_instar,Correct-Present,29.9,Y,Y,Y,N,cryovial,7/12/21,wholeINSTAR,
CornetBay,CH07_W6_CRN_wld_10_W5,CRN_E28_meg,CRN_E28_meg,Correct-Present,29.9,Y,Y,N  ,Y,poptop,7/12/21,moltMegalopae,
CornetBay,CH07_W6_CRN_wld_10_W5,CRN_E28_instar,CRN_E28_instar,Correct-Present,29.9,Y,Y,N  ,Y,poptop,7/12/21,wholeINSTAR,possible this freezer shut off? 
CornetBay,CH06_W6_CRN_wld_04_W3,CRN_F22_meg,CRN_F22_meg,Correct-Present,29.77,Y,Y,Y,N,cryovial,7/13/21,moltMegalopae,
CornetBay,CH06_W6_CRN_wld_04_W3,CRN_F22_instar,CRN_F22_instar,Correct-Present,29.77,Y,Y,Y,N,cryovial,7/13/21,wholeINSTAR,
CornetBay,CH06_W6_CRN_wld_04_W6,CRN_E29_meg,CRN_E29_meg,Correct-Present,29.77,Y,Y,N  ,Y,poptop,7/13/21,moltMegalopae,
CornetBay,CH06_W6_CRN_wld_04_W6,CRN_E29_instar,CRN_E29_instar,Correct-Present,29.77,Y,Y,N  ,Y,poptop,7/13/21,wholeINSTAR,
CornetBay,CH07_W6_CRN_wld_07_W2,CRN_F23_meg,CRN_F23_meg,Correct-Present,29.77,Y,Y,Y,N,cryovial,7/13/21,moltMegalopae,
CornetBay,CH07_W6_CRN_wld_07_W2,CRN_F23_instar,CRN_F23_instar,Correct-Present,29.77,Y,Y,Y,N,cryovial,7/13/21,wholeINSTAR,
CornetBay,CH07_W6_CRN_wld_07_W6,CRN_E30_meg,CRN_E30_meg,Correct-Present,29.77,Y,Y,N  ,Y,poptop,7/13/21,moltMegalopae,
CornetBay,CH07_W6_CRN_wld_07_W6,CRN_E30_instar,CRN_E30_instar,Correct-Present,29.77,Y,Y,N  ,Y,poptop,7/13/21,wholeINSTAR,
CornetBay,CH07_W6_CRN_wld_08_w4,CRN_F24_meg,CRN_F24_meg,Correct-Present,29.77,Y,Y,Y,N,cryovial,7/13/21,moltMegalopae,
CornetBay,CH07_W6_CRN_wld_08_w4,CRN_F24_instar,CRN_F24_instar,Correct-Present,29.77,Y,Y,Y,N,cryovial,7/13/21,wholeINSTAR,
CornetBay,CH07_W6_CRN_wld_09_W2,CRN_E31_meg,CRN_E31_meg,Correct-Present,29.77,Y,Y,N  ,Y,poptop,7/13/21,moltMegalopae,
CornetBay,CH07_W6_CRN_wld_09_W2,CRN_E31_instar,CRN_E31_instar,"""F24"" suspect",29.77,Y,Y,N  ,Y,poptop,7/13/21,wholeINSTAR,
CornetBay,CH07_W6_CRN_wld_10_W4,CRN_F25_meg,CRN_F25_meg,Correct-Present,29.77,Y,Y,Y,N,cryovial,7/13/21,moltMegalopae,
CornetBay,CH07_W6_CRN_wld_10_W4,CRN_F25_instar,CRN_F25_instar,Correct-Present,29.77,Y,Y,Y,N,cryovial,7/13/21,wholeINSTAR,
CornetBay,CH07_W6_CRN_wld_10_W6,CRN_E32_meg,CRN_E32_meg,Correct-Present,29.77,Y,Y,N  ,Y,poptop,7/13/21,moltMegalopae,
CornetBay,CH07_W6_CRN_wld_10_W6,CRN_E32_instar,CRN_E32_instar,Correct-Present,29.77,Y,Y,N  ,Y,poptop,7/13/21,wholeINSTAR,
CornetBay,CH06_W6_CRN_wld_01_w4,CRN_E33_meg,CRN_E33_meg,Correct-Present,28.86,Y,Y,N  ,Y,poptop,7/14/21,moltMegalopae,
CornetBay,CH06_W6_CRN_wld_01_w4,CRN_E33_instar,CRN_E33_instar,Correct-Present,28.86,Y,Y,N  ,Y,poptop,7/14/21,wholeINSTAR,
CornetBay,CH06_W6_CRN_wld_03_w3,CRN_E34_meg,CRN_E34_meg,Correct-Present,28.86,Y,Y,N  ,Y,poptop,7/14/21,moltMegalopae,
CornetBay,CH06_W6_CRN_wld_03_w3,CRN_E34_instar,CRN_E34_instar,Correct-Present,28.86,Y,Y,N  ,Y,poptop,7/14/21,wholeINSTAR,
CornetBay,CH06_W6_CRN_wld_04_w4,CRN_F26_meg,CRN_F26_meg,Correct-Present,28.86,Y,Y,Y,N,cryovial,7/14/21,moltMegalopae,
CornetBay,CH06_W6_CRN_wld_04_w4,CRN_F26_instar,CRN_F26_instar,Correct-Present,28.86,Y,Y,Y,N,cryovial,7/14/21,wholeINSTAR,
CornetBay,CH06_W6_CRN_wld_04_w5,CRN_F27_meg,CRN_F27_meg,Correct-Present,28.86,Y,Y,Y,N,cryovial,7/14/21,moltMegalopae,
CornetBay,CH06_W6_CRN_wld_04_w5,CRN_F27_instar,CRN_F27_instar,Correct-Present,28.86,Y,Y,Y,N,cryovial,7/14/21,wholeINSTAR,
CornetBay,CH07_W6_CRN_wld_06_W6,CRN_F28_meg,CRN_F28_meg,Correct-Present,28.86,Y,Y,Y,N,cryovial,7/14/21,moltMegalopae,
CornetBay,CH07_W6_CRN_wld_06_W6,CRN_F28_instar,CRN_F28_instar,Correct-Present,28.86,Y,Y,Y,N,cryovial,7/14/21,wholeINSTAR,
CornetBay,CH06_W6_CRN_wld_05_W2,"""7.16.21, CRN_52,instar""",CRN_E35_instar,Correct-Present,N/A,Y,Y,N  ,Y,poptop,7/16/21,wholeINSTAR,
CornetBay,CH06_W6_CRN_wld_05_W2,"""7.16.21, CRN_52,meg""",CRN_E35_meg,Correct-Present,N/A,Y,Y,N  ,Y,poptop,7/16/21,moltMegalopae,
CornetBay,CH06_W6_CRN_wld_04_W1,"""7.16.21, CH06, 4,1, molt""",CRN_E36_instar,Correct-Present,N/A,Y,Y,N  ,Y,poptop,7/16/21,moltMegalopae,
CornetBay,CH06_W6_CRN_wld_04_W1,"""7.16.21, CH06, 41, instar""",CRN_E36_meg,Correct-Present,N/A,Y,Y,N  ,Y,poptop,7/16/21,wholeINSTAR,
CornetBay,CH06_W6_CRN_wld_01_W3,"""CRN 7.16.21, CH06, 1,3, molt""",CRN_E37_instar,Correct-Present,N/A,Y,Y,N  ,Y,poptop,7/16/21,moltMegalopae,
CornetBay,CH06_W6_CRN_wld_01_W3,"""7.16.21, CH06, CRN 13""",CRN_E37_meg,Correct-Present,N/A,Y,Y,N  ,Y,poptop,7/16/21,wholeINSTAR,
CornetBay,CH07_W6_CRN_wld_07_W3,"""7.16.21, CRN 73, molt""",CRN_E37.5_instar,Correct-Present,N/A,Y,Y,N  ,Y,poptop,7/16/21,moltMegalopae,
CornetBay,CH07_W6_CRN_wld_07_W3,"""7.16.21, CRN 73, instar",CRN_E37.5_meg,Correct-Present,N/A,Y,Y,N  ,Y,poptop,7/16/21,wholeINSTAR,
CornetBay,CH06_W6_CRN_wld_01_W5,"""7.16.21, CRN 61, molt""",CRN_F29_meg,Correct-Present,N/A,Y,Y,Y,N,cryovial,7/16/21,moltMegalopae,
CornetBay,CH06_W6_CRN_wld_01_W5,"""7.16.21, CRN 61, instar""",CRN_F29_instar,Correct-Present,N/A,Y,Y,Y,N,cryovial,7/16/21,wholeINSTAR,
CornetBay,CH06_W6_CRN_wld_05_W1,"""CRN 7.16.21, CH06, 01,05 meg""",CRN_F30_meg,Correct-Present,N/A,Y,Y,Y,N,cryovial,7/16/21,moltMegalopae,
CornetBay,CH06_W6_CRN_wld_05_W1,"""CRN 7.16.21, CH06, 01,05 instar""",CRN_F30_instar,Correct-Present,N/A,Y,Y,Y,N,cryovial,7/16/21,wholeINSTAR,
CornetBay,CH07_W6_CRN_wld_06_W1,"""7.16.21, CRN 51, molt""",CRN_F31_meg,Correct-Present,N/A,Y,Y,Y,N,cryovial,7/16/21,moltMegalopae,
CornetBay,CH07_W6_CRN_wld_06_W1,"""7.16.21, CRN 51, instar""",CRN_F31_instar,Correct-Present,N/A,Y,Y,Y,N,cryovial,7/16/21,wholeINSTAR,
CornetBay,CH07_W6_CRN_wld_08_W3,"""7.16.21, CRN 83, molt""",CRN_F32_meg,Correct-Present,N/A,Y,Y,Y,N,cryovial,7/16/21,moltMegalopae,
CornetBay,CH07_W6_CRN_wld_08_W3,"""7.16.21, CRN 83, instar""",CRN_F32_instar,Correct-Present,N/A,Y,Y,N  ,Y,poptop,7/16/21,wholeINSTAR,
CornetBay,CH06_W6_CRN_wld_02_W1,CRN_32_meg ,CRN_F33_meg,Correct-Present,N/A,Y,Y,Y,N,cryovial,7/19/21,moltMegalopae,
CornetBay,CH06_W6_CRN_wld_02_W1,CRN_32_instar ,CRN_F33_instar,Correct-Present,N/A,Y,Y,Y,N,cryovial,7/19/21,wholeINSTAR,
CornetBay,CH06_W6_CRN_wld_02_W5,CRN_33_instar,CRN_F34_meg,Correct-Present,N/A,Y,Y,Y,N,cryovial,7/19/21,wholeINSTAR,
CornetBay,CH06_W6_CRN_wld_02_W5,CRN_33_meg,CRN_F34_instar,Correct-Present,N/A,Y,Y,Y,N,cryovial,7/19/21,moltMegalopae,
CornetBay,CH06_W6_CRN_wld_04_W2,CRN_34_instar ,CRN_F35_meg,Correct-Present,N/A,Y,Y,Y,N,cryovial,7/19/21,wholeINSTAR,
CornetBay,CH06_W6_CRN_wld_04_W2,CRN_34_meg,CRN_F35_instar,Correct-Present,N/A,Y,Y,Y,N,cryovial,7/19/21,moltMegalopae,
CornetBay,CH07_W6_CRN_wld_09_W2,CRN_35_instar,CRN_F36_meg,Correct-Present,N/A,Y,Y,Y,N,cryovial,7/19/21,wholeINSTAR,
CornetBay,CH07_W6_CRN_wld_09_W2,CRN_35_meg,CRN_F36_instar,Correct-Present,N/A,Y,Y,Y,N,cryovial,7/19/21,moltMegalopae,
CornetBay,CH06_W6_CRN_wld_02_W2,"""CRN_38_instar""",CRN_E38_instar,Correct-Present,N/A,Y,Y,N,Y,poptop,7/19/21,wholeINSTAR,not enough molt to preserve
CornetBay,CH06_W6_CRN_wld_02_W6,"""CRN_39_meg""",CRN_E39_instar,Correct-Present,N/A,Y,Y,N,Y,poptop,7/19/21,moltMegalopae,
CornetBay,CH06_W6_CRN_wld_02_W6,"""CRN_39_instar""",CRN_E39_meg,Correct-Present,N/A,Y,Y,N,Y,poptop,7/19/21,wholeINSTAR,
CornetBay,CH06_W6_CRN_wld_05_W4,"""CRN_40_instar""",CRN_E40_instar,Correct-Present,N/A,Y,Y,N,Y,poptop,7/19/21,wholeINSTAR,not enough molt to preserve
CornetBay,CH06_W6_CRN_wld_05_W6,"7.20.21, CRN 56E, molt""",CRN_E41_meg,Correct-Present,N/A,Y,Y,N,Y,poptop,7/20/21,moltMegalopae,
CornetBay,CH06_W6_CRN_wld_05_W6,"7.20.21, CRN 56E, instar""",CRN_E41_instar,Correct-Present,N/A,Y,Y,N,Y,poptop,7/20/21,wholeINSTAR,
CornetBay,CH07_W6_CRN_wld_10_W2,CRN_F36_instar,CRN_F37_meg,Correct-Present,N/A,Y,Y,Y,N,cryovial,7/21/21,wholeINSTAR,
CornetBay,CH07_W6_CRN_wld_10_W2,CRN_F36_meg,CRN_F37_instar,Correct-Present,N/A,Y,Y,Y,N,cryovial,7/21/21,moltMegalopae,
CornetBay,CH07_W6_CRN_wld_07_W5,"""7.9.21_CH0, 3#5 J1_molt""",CRN_F38_meg,Correct-Present,N/A,N/A,N/A,N/A,N/A,cryovial,7/9/21,moltMegalopae,
CornetBay,CH07_W6_CRN_wld_07_W5,"""7.9.21_CH0, 3#5 J1_instar""",CRN_F38_instar,Correct-Present,N/A,N/A,N/A,N/A,N/A,cryovial,7/9/21,wholeINSTAR,
